trade_date,rewards
2011-08-12,"tf.Tensor(1.149344, shape=(), dtype=float32)"
2011-08-15,"tf.Tensor(1.1483086, shape=(), dtype=float32)"
2011-08-16,"tf.Tensor(1.1472536, shape=(), dtype=float32)"
2011-08-17,"tf.Tensor(1.1462063, shape=(), dtype=float32)"
2011-08-18,"tf.Tensor(1.145161, shape=(), dtype=float32)"
2011-08-19,"tf.Tensor(1.1441393, shape=(), dtype=float32)"
2011-08-22,"tf.Tensor(1.1431317, shape=(), dtype=float32)"
2011-08-23,"tf.Tensor(1.14213, shape=(), dtype=float32)"
2011-08-24,"tf.Tensor(1.1411082, shape=(), dtype=float32)"
2011-08-25,"tf.Tensor(1.1400893, shape=(), dtype=float32)"
2011-08-26,"tf.Tensor(1.1390517, shape=(), dtype=float32)"
2011-08-29,"tf.Tensor(1.1380129, shape=(), dtype=float32)"
2011-08-30,"tf.Tensor(1.1369762, shape=(), dtype=float32)"
2011-08-31,"tf.Tensor(1.135941, shape=(), dtype=float32)"
2011-09-01,"tf.Tensor(1.1349033, shape=(), dtype=float32)"
2011-09-02,"tf.Tensor(1.133871, shape=(), dtype=float32)"
2011-09-05,"tf.Tensor(1.1328541, shape=(), dtype=float32)"
2011-09-06,"tf.Tensor(1.1318574, shape=(), dtype=float32)"
2011-09-07,"tf.Tensor(1.1308668, shape=(), dtype=float32)"
2011-09-08,"tf.Tensor(1.1298535, shape=(), dtype=float32)"
2011-09-09,"tf.Tensor(1.1288486, shape=(), dtype=float32)"
2011-09-12,"tf.Tensor(1.1278514, shape=(), dtype=float32)"
2011-09-13,"tf.Tensor(1.1268604, shape=(), dtype=float32)"
2011-09-14,"tf.Tensor(1.1258771, shape=(), dtype=float32)"
2011-09-15,"tf.Tensor(1.1248863, shape=(), dtype=float32)"
2011-09-16,"tf.Tensor(1.1238911, shape=(), dtype=float32)"
2011-09-19,"tf.Tensor(1.1228923, shape=(), dtype=float32)"
2011-09-20,"tf.Tensor(1.1219138, shape=(), dtype=float32)"
2011-09-21,"tf.Tensor(1.1209325, shape=(), dtype=float32)"
2011-09-22,"tf.Tensor(1.1199372, shape=(), dtype=float32)"
2011-09-23,"tf.Tensor(1.1189764, shape=(), dtype=float32)"
2011-09-26,"tf.Tensor(1.1180209, shape=(), dtype=float32)"
